Device Type, Ticks, Data0, Data1




1, 6151, 71, 77
2, 6152, 0, 2219
1, 6179, 73, 75
2, 6180, 12, 1440
2, 6205, 0, 1474
1, 6210, 73, 79
2, 6230, 1, 2373
1, 6241, 69, 73
2, 6255, 0, 2321
1, 6272, 73, 74
2, 6280, 0, 2120
1, 6303, 75, 76
2, 6305, 2, 2521
1, 6333, 77, 76
2, 6334, 13, 1890
2, 6359, 19, 3161
1, 6364, 78, 74
2, 6384, 14, 2080
1, 6395, 78, 75
2, 6409, 0, 1833
1, 6426, 77, 76
2, 6434, 0, 1844
1, 6457, 81, 73
2, 6459, 1, 2379
1, 6487, 76, 80
2, 6488, 0, 2168
2, 6513, 0, 1447
1, 6518, 79, 78
2, 6538, 0, 2445
1, 6549, 80, 79
2, 6563, 0, 2663
1, 6580, 78, 83
2, 6588, 0, 2047
1, 6611, 80, 84
2, 6613, 0, 1594
1, 6641, 83, 81
2, 6642, 0, 2263
2, 6666, 3, 2191
1, 6672, 81, 83
2, 6691, 2, 2573
1, 6703, 82, 79
2, 6716, 1, 2500
1, 6734, 86, 84
2, 6741, 121, 4188
1, 6765, 84, 81
2, 6766, 0, 1425
1, 6795, 84, 80
2, 6796, 0, 2101
2, 6820, 0, 1121
1, 6826, 83, 85
2, 6845, 5, 1646
1, 6857, 80, 79
2, 6870, 0, 1270
1, 6888, 78, 81
2, 6895, 0, 1231
1, 6919, 80, 83
2, 6920, 0, 1757
1, 6949, 81, 85
2, 6950, 8, 1898
2, 6975, 6, 1735
1, 6980, 82, 83
2, 7000, 0, 2016
1, 7011, 81, 85
2, 7025, 9, 2010
1, 7042, 83, 83
2, 7050, 28, 2071
0, 7054, 634, 0
4, 7054, 0, 788
0, 7057, 601, 0
4, 7057, 0, 799
1, 7072, 85, 84
2, 7075, 0, 3504
0, 7086, 574, 0
4, 7086, 0, 794
1, 7102, 84, 84
2, 7103, 0, 2667
0, 7117, 545, 0
4, 7117, 0, 796
2, 7127, 0, 2462
1, 7133, 79, 86
0, 7148, 521, 0
4, 7148, 0, 782
2, 7152, 0, 1641
1, 7164, 82, 89
0, 7179, 480, 0
4, 7179, 0, 783
2, 7179, 0, 1914
1, 7195, 82, 88
2, 7204, 46, 1098
0, 7210, 464, 0
4, 7210, 0, 781
1, 7226, 81, 89
2, 7229, 2, 2102
0, 7241, 423, 0
4, 7241, 0, 776
1, 7256, 81, 87
2, 7257, 5, 2072
0, 7272, 401, 0
4, 7272, 0, 772
2, 7282, 0, 2349
1, 7287, 86, 88
0, 7302, 373, 0
4, 7302, 0, 784
2, 7307, 13, 2132
1, 7318, 83, 87
0, 7333, 336, 0
4, 7333, 0, 777
2, 7334, 24, 2169
1, 7349, 87, 86
2, 7359, 0, 1593
0, 7364, 312, 0
4, 7364, 0, 781
1, 7380, 83, 87
2, 7384, 0, 1937
0, 7395, 280, 0
4, 7395, 0, 781
1, 7411, 82, 87
2, 7411, 21, 4005
0, 7426, 248, 0
4, 7426, 0, 781
2, 7436, 0, 0
1, 7441, 84, 91
0, 7457, 219, 0
4, 7457, 0, 792
2, 7461, 6, 1716
1, 7472, 79, 92
2, 7486, 0, 1699
0, 7488, 187, 0
