Device Type, Ticks, Data0, Data1
1, 5304, 115, 119
2, 5305, 5, 2157
1, 5318, 113, 123
2, 5329, 4, 1870
1, 5349, 110, 116
2, 5354, 11, 1943
1, 5380, 111, 121
2, 5380, 5, 2346
2, 5405, 9, 1799
1, 5411, 110, 116
2, 5430, 0, 1944
1, 5441, 114, 116
2, 5455, 0, 2141
1, 5472, 115, 118
2, 5480, 0, 2471
1, 5503, 114, 116
2, 5505, 0, 2217
1, 5534, 116, 112
2, 5534, 0, 1480
2, 5559, 0, 2236
1, 5564, 115, 112
2, 5584, 4, 2818
1, 5595, 110, 112
2, 5609, 11, 2762
1, 5626, 117, 112
2, 5634, 0, 2296
1, 5657, 115, 113
2, 5659, 6, 1977
1, 5688, 113, 115
2, 5688, 15, 1942
2, 5713, 10, 1714
1, 5718, 113, 114
2, 5738, 2, 1955
1, 5749, 112, 113
2, 5763, 0, 2148
1, 5780, 112, 112
2, 5788, 23, 3138
1, 5811, 113, 113
2, 5813, 0, 1413
1, 5842, 111, 108
2, 5842, 0, 1539
2, 5867, 0, 2339
1, 5872, 114, 109
2, 5892, 0, 2494
1, 5903, 111, 110
2, 5917, 17, 2674
1, 5934, 107, 112
2, 5942, 0, 1691
1, 5965, 104, 109
2, 5967, 5, 1600
1, 5995, 105, 112
2, 5996, 17, 2295
2, 6021, 11, 2024
1, 6026, 107, 107
2, 6046, 6, 2103
1, 6057, 104, 109
2, 6071, 2, 2074
1, 6088, 110, 109
2, 6096, 0, 2165
1, 6119, 110, 109
2, 6121, 0, 2608
1, 6149, 106, 106
2, 6150, 2, 1279
2, 6174, 0, 530
1, 6180, 108, 106
2, 6199, 0, 1204
0, 6206, 509, 0
4, 6206, 0, 5
1, 6211, 110, 108
0, 6223, 486, 0
4, 6223, 0, 5
2, 6224, 0, 2270
1, 6242, 107, 105
2, 6249, 6, 1764
0, 6254, 444, 0
4, 6254, 0, 5
1, 6273, 104, 104
2, 6274, 7, 2496
0, 6285, 429, 0
4, 6285, 0, 0
2, 6299, 9, 2677
1, 6304, 108, 107
0, 6316, 396, 0
4, 6316, 0, 5
2, 6324, 7, 2416
1, 6334, 108, 105
0, 6347, 377, 0
4, 6347, 0, 2
2, 6349, 8, 2243
1, 6365, 102, 106
2, 6374, 0, 1816
0, 6378, 339, 0
4, 6378, 0, 6
1, 6396, 102, 104
2, 6399, 0, 2290
0, 6409, 312, 0
4, 6409, 0, 0
1, 6426, 99, 104
2, 6427, 0, 3275
0, 6440, 286, 0
4, 6440, 0, 3
2, 6451, 7, 3625
1, 6457, 100, 107
0, 6471, 252, 0
4, 6471, 0, 4
2, 6476, 0, 3444
1, 6488, 101, 105
0, 6502, 221, 0
4, 6502, 0, 5
4, 6502, 0, 5
6, 6712, 0, 0
5, 6714, 0, 0
5, 6715, 0, 0
5, 6716, 0, 0
5, 6717, 0, 0
5, 6718, 0, 0
5, 6719, 0, 0
5, 6720, 0, 0
5, 6721, 0, 0
5, 6722, 0, 0
5, 6723, 0, 0
5, 6724, 0, 0
5, 6725, 0, 0
5, 6726, 0, 0
5, 6727, 0, 0
5, 6728, 0, 0
5, 6729, 0, 0
5, 6730, 0, 0
5, 6731, 0, 0
5, 6732, 0, 0
5, 6733, 0, 0
5, 6734, 0, 0
5, 6735, 0, 0
5, 6736, 0, 0
5, 6737, 0, 1
5, 6738, 0, 1
5, 6739, 0, 1
5, 6740, 0, 1
5, 6741, 0, 1
5, 6742, 0, 1
5, 6743, 0, 1
5, 6744, 0, 1
5, 6745, 0, 1
5, 6746, 0, 1
5, 6747, 0, 1
5, 6748, 0, 1
5, 6749, 0, 2
5, 6750, 0, 2
5, 6751, 0, 2
5, 6752, 0, 2
5, 6753, 0, 2
5, 6754, 0, 2
5, 6755, 0, 2
5, 6756, 0, 2
5, 6757, 0, 2
5, 6758, 0, 2
5, 6759, 0, 3
5, 6760, 0, 3
5, 6761, 0, 3
5, 6762, 0, 3
5, 6763, 0, 3
5, 6764, 0, 3
5, 6765, 0, 3
5, 6766, 0, 3
5, 6767, 0, 3
5, 6768, 0, 4
5, 6769, 0, 4
5, 6770, 0, 4
5, 6771, 0, 4
5, 6772, 0, 4
5, 6773, 0, 4
5, 6774, 0, 4
5, 6775, 0, 5
5, 6776, 0, 5
5, 6777, 0, 5
5, 6778, 0, 5
5, 6779, 0, 5
5, 6780, 0, 5
5, 6781, 0, 5
5, 6782, 0, 6
5, 6783, 0, 6
5, 6784, 0, 6
5, 6785, 0, 6
5, 6786, 0, 6
5, 6787, 0, 6
5, 6788, 0, 7
5, 6789, 0, 7
5, 6790, 0, 7
5, 6791, 0, 7
5, 6792, 0, 7
5, 6793, 0, 7
5, 6794, 0, 7
5, 6795, 0, 8
5, 6796, 0, 8
5, 6797, 0, 8
5, 6798, 0, 8
5, 6799, 0, 8
5, 6800, 0, 8
5, 6801, 0, 9
5, 6802, 0, 9
5, 6803, 0, 9
5, 6804, 0, 9
5, 6805, 0, 9
5, 6806, 0, 9
5, 6807, 0, 10
5, 6808, 0, 10
5, 6809, 0, 10
5, 6810, 0, 10
5, 6811, 0, 10
5, 6812, 0, 10
